tenure,monthly_charges,total_charges,contract_type,customer_support_calls,internet_service,online_security,tech_support,payment_method,paperless_billing,churn
52,99.53,5175.38,One year,4,Fiber optic,No,No,Mailed check,Yes,1
15,20.89,313.29,One year,6,DSL,No,Yes,Mailed check,Yes,1
61,78.41,4783.25,Month-to-month,4,Fiber optic,Yes,No,Mailed check,Yes,1
21,65.74,1380.61,Two year,5,No,Yes,Yes,Electronic check,Yes,0
24,54.72,1313.38,Month-to-month,8,DSL,Yes,No,Credit card,Yes,1
3,30.21,90.62,One year,2,No,No,Yes,Credit card,Yes,0
22,52.73,1159.99,Month-to-month,2,Fiber optic,No,Yes,Credit card,Yes,1
53,48.35,2562.56,Month-to-month,7,DSL,No,No,Electronic check,Yes,1
2,44.23,88.45,Month-to-month,9,Fiber optic,Yes,No,Mailed check,Yes,1
30,78.47,2354.11,One year,5,DSL,Yes,No,Mailed check,No,0
38,76.06,2890.21,One year,9,DSL,No,No,Credit card,Yes,1
2,67.12,134.24,Month-to-month,2,Fiber optic,Yes,Yes,Bank transfer,Yes,1
64,95.09,6085.96,Month-to-month,1,Fiber optic,No,No,Mailed check,Yes,1
60,47.99,2879.3,Month-to-month,1,Fiber optic,Yes,No,Mailed check,Yes,1
21,39.5,829.59,One year,1,DSL,Yes,No,Mailed check,Yes,0
33,72.47,2391.58,One year,4,No,No,Yes,Electronic check,Yes,0
58,35.91,2082.5,Month-to-month,4,Fiber optic,No,No,Mailed check,No,1
22,45.2,994.42,Month-to-month,0,No,Yes,No,Credit card,No,0
49,37.97,1860.44,One year,1,DSL,No,No,Mailed check,No,0
59,25.53,1506.4,Month-to-month,1,Fiber optic,Yes,Yes,Credit card,Yes,1
42,86.2,3620.4,Month-to-month,3,Fiber optic,No,No,Bank transfer,No,1
60,40.36,2421.79,Month-to-month,6,DSL,No,No,Electronic check,No,1
15,57.84,867.63,Month-to-month,2,No,Yes,Yes,Bank transfer,Yes,1
62,23.47,1454.84,One year,4,DSL,Yes,No,Mailed check,Yes,0
62,75.95,4708.72,One year,8,DSL,Yes,No,Bank transfer,No,0
47,46.44,2182.91,Month-to-month,4,No,No,Yes,Mailed check,No,1
62,79.58,4933.89,One year,8,No,No,Yes,Credit card,Yes,0
51,52.99,2702.6,Month-to-month,0,DSL,Yes,Yes,Mailed check,Yes,0
55,35.66,1961.32,Two year,8,DSL,Yes,Yes,Electronic check,No,0
64,61.05,3907.46,One year,4,Fiber optic,No,Yes,Bank transfer,Yes,1
3,30.44,91.32,One year,7,No,No,Yes,Mailed check,Yes,0
51,55.24,2817.4,Month-to-month,4,Fiber optic,No,Yes,Credit card,Yes,1
7,45.38,317.69,Month-to-month,5,Fiber optic,No,No,Bank transfer,Yes,1
21,92.96,1952.09,Month-to-month,7,Fiber optic,Yes,No,Electronic check,No,1
39,24.87,970.1,One year,1,DSL,No,No,Mailed check,Yes,0
18,75.52,1359.39,Month-to-month,2,No,No,No,Electronic check,Yes,1
4,34.62,138.48,Two year,8,DSL,Yes,Yes,Credit card,No,0
60,45.52,2731.42,Two year,4,Fiber optic,No,No,Bank transfer,Yes,1
14,53.24,745.38,One year,4,Fiber optic,No,Yes,Bank transfer,Yes,1
9,92.64,833.77,Two year,8,Fiber optic,No,No,Bank transfer,No,1
53,39.41,2088.53,Month-to-month,9,Fiber optic,Yes,Yes,Credit card,No,1
2,27.3,54.61,Month-to-month,2,No,No,Yes,Mailed check,Yes,1
60,45.5,2729.71,Month-to-month,3,Fiber optic,No,Yes,Mailed check,No,1
71,28.37,2014.56,One year,6,Fiber optic,No,No,Mailed check,Yes,1
44,30.29,1332.66,Month-to-month,1,DSL,No,Yes,Electronic check,Yes,1
8,65.91,527.26,Two year,7,Fiber optic,No,Yes,Credit card,No,1
47,24.87,1168.99,Month-to-month,4,DSL,No,Yes,Bank transfer,Yes,1
35,22.47,786.61,Month-to-month,0,DSL,Yes,No,Credit card,No,0
36,77.15,2777.51,Two year,2,DSL,No,No,Credit card,Yes,1
50,48.93,2446.59,Month-to-month,8,Fiber optic,No,No,Credit card,No,1
4,30.03,120.12,Month-to-month,4,No,No,No,Bank transfer,Yes,1
2,40.29,80.58,One year,7,Fiber optic,Yes,No,Bank transfer,Yes,1
